 >TARPBXN : slab+disk; XS2,XS3,YS,ZS= 15.0000  0.0000 24.0000 24.0000
      9312 = NAT 
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
   0.50000   0.50000   0.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
    393   2   0   3 1 1 1
    394   3   0   3 1 1 1
    395   4   0   3 1 1 1
    396   5   0   3 1 1 1
    397   0   0   4 1 1 1
    398   1   0   4 1 1 1
    399   2   0   4 1 1 1
    400   3   0   4 1 1 1
    401   4   0   4 1 1 1
    402   5   0   4 1 1 1
    403   0   0   5 1 1 1
    404   1   0   5 1 1 1
    405   2   0   5 1 1 1
    406   3   0   5 1 1 1
    407   4   0   5 1 1 1
    408   5   0   5 1 1 1
    409   0   1  -6 1 1 1
    410   1   1  -6 1 1 1
    411   2   1  -6 1 1 1
    412   3   1  -6 1 1 1
    413   4   1  -6 1 1 1
    414   5   1  -6 1 1 1
    415   0   1  -5 1 1 1
    416   1   1  -5 1 1 1
    417   2   1  -5 1 1 1
    418   3   1  -5 1 1 1
    419   4   1  -5 1 1 1
    420   5   1  -5 1 1 1
    421   0   1  -4 1 1 1
    422   1   1  -4 1 1 1
    423   2   1  -4 1 1 1
    424   3   1  -4 1 1 1
    425   4   1  -4 1 1 1
    426   5   1  -4 1 1 1
    427   0   1  -3 1 1 1
    428   1   1  -3 1 1 1
    429   2   1  -3 1 1 1
    430   3   1  -3 1 1 1
    431   4   1  -3 1 1 1
    432   5   1  -3 1 1 1
    433   0   1  -2 1 1 1
    434   1   1  -2 1 1 1
    435   2   1  -2 1 1 1
    436   3   1  -2 1 1 1
    437   4   1  -2 1 1 1
    438   5   1  -2 1 1 1
    439   0   1  -1 1 1 1
    440   1   1  -1 1 1 1
    441   2   1  -1 1 1 1
    442   3   1  -1 1 1 1
    443   4   1  -1 1 1 1
    444   5   1  -1 1 1 1
    445   0   1   0 1 1 1
    446   1   1   0 1 1 1
    447   2   1   0 1 1 1
    448   3   1   0 1 1 1
    449   4   1   0 1 1 1
    450   5   1   0 1 1 1
    451   0   1   1 1 1 1
    452   1   1   1 1 1 1
    453   2   1   1 1 1 1
    454   3   1   1 1 1 1
    455   4   1   1 1 1 1
    456   5   1   1 1 1 1
    457   0   1   2 1 1 1
    458   1   1   2 1 1 1
    459   2   1   2 1 1 1
    460   3   1   2 1 1 1
    461   4   1   2 1 1 1
    462   5   1   2 1 1 1
    463   0   1   3 1 1 1
    464   1   1   3 1 1 1
    465   2   1   3 1 1 1
    466   3   1   3 1 1 1
    467   4   1   3 1 1 1
    468   5   1   3 1 1 1
    469   0   1   4 1 1 1
    470   1   1   4 1 1 1
    471   2   1   4 1 1 1
    472   3   1   4 1 1 1
    473   4   1   4 1 1 1
    474   5   1   4 1 1 1
    475   0   1   5 1 1 1
    476   1   1   5 1 1 1
    477   2   1   5 1 1 1
    478   3   1   5 1 1 1
    479   4   1   5 1 1 1
    480   5   1   5 1 1 1
    481   0   2  -5 1 1 1
    482   1   2  -5 1 1 1
    483   2   2  -5 1 1 1
    484   3   2  -5 1 1 1
    485   4   2  -5 1 1 1
    486   5   2  -5 1 1 1
    487   0   2  -4 1 1 1
    488   1   2  -4 1 1 1
    489   2   2  -4 1 1 1
    490   3   2  -4 1 1 1
    491   4   2  -4 1 1 1
    492   5   2  -4 1 1 1
    493   0   2  -3 1 1 1
    494   1   2  -3 1 1 1
    495   2   2  -3 1 1 1
    496   3   2  -3 1 1 1
    497   4   2  -3 1 1 1
    498   5   2  -3 1 1 1
    499   0   2  -2 1 1 1
    500   1   2  -2 1 1 1
    501   2   2  -2 1 1 1
    502   3   2  -2 1 1 1
    503   4   2  -2 1 1 1
    504   5   2  -2 1 1 1
    505   0   2  -1 1 1 1
    506   1   2  -1 1 1 1
    507   2   2  -1 1 1 1
    508   3   2  -1 1 1 1
    509   4   2  -1 1 1 1
    510   5   2  -1 1 1 1
    511   0   2   0 1 1 1
    512   1   2   0 1 1 1
    513   2   2   0 1 1 1
    514   3   2   0 1 1 1
    515   4   2   0 1 1 1
    516   5   2   0 1 1 1
    517   0   2   1 1 1 1
    518   1   2   1 1 1 1
    519   2   2   1 1 1 1
    520   3   2   1 1 1 1
    521   4   2   1 1 1 1
    522   5   2   1 1 1 1
    523   0   2   2 1 1 1
    524   1   2   2 1 1 1
    525   2   2   2 1 1 1
    526   3   2   2 1 1 1
    527   4   2   2 1 1 1
    528   5   2   2 1 1 1
    529   0   2   3 1 1 1
    530   1   2   3 1 1 1
    531   2   2   3 1 1 1
    532   3   2   3 1 1 1
    533   4   2   3 1 1 1
    534   5   2   3 1 1 1
    535   0   2   4 1 1 1
    536   1   2   4 1 1 1
    537   2   2   4 1 1 1
    538   3   2   4 1 1 1
    539   4   2   4 1 1 1
    540   5   2   4 1 1 1
    541   0   3  -5 1 1 1
    542   1   3  -5 1 1 1
    543   2   3  -5 1 1 1
    544   3   3  -5 1 1 1
    545   4   3  -5 1 1 1
    546   5   3  -5 1 1 1
    547   0   3  -4 1 1 1
    548   1   3  -4 1 1 1
    549   2   3  -4 1 1 1
    550   3   3  -4 1 1 1
    551   4   3  -4 1 1 1
    552   5   3  -4 1 1 1
    553   0   3  -3 1 1 1
    554   1   3  -3 1 1 1
    555   2   3  -3 1 1 1
    556   3   3  -3 1 1 1
    557   4   3  -3 1 1 1
    558   5   3  -3 1 1 1
    559   0   3  -2 1 1 1
    560   1   3  -2 1 1 1
    561   2   3  -2 1 1 1
    562   3   3  -2 1 1 1
    563   4   3  -2 1 1 1
    564   5   3  -2 1 1 1
    565   0   3  -1 1 1 1
    566   1   3  -1 1 1 1
    567   2   3  -1 1 1 1
    568   3   3  -1 1 1 1
    569   4   3  -1 1 1 1
    570   5   3  -1 1 1 1
    571   0   3   0 1 1 1
    572   1   3   0 1 1 1
    573   2   3   0 1 1 1
    574   3   3   0 1 1 1
    575   4   3   0 1 1 1
    576   5   3   0 1 1 1
    577   0   3   1 1 1 1
    578   1   3   1 1 1 1
    579   2   3   1 1 1 1
    580   3   3   1 1 1 1
    581   4   3   1 1 1 1
    582   5   3   1 1 1 1
    583   0   3   2 1 1 1
    584   1   3   2 1 1 1
    585   2   3   2 1 1 1
    586   3   3   2 1 1 1
    587   4   3   2 1 1 1
    588   5   3   2 1 1 1
    589   0   3   3 1 1 1
    590   1   3   3 1 1 1
    591   2   3   3 1 1 1
    592   3   3   3 1 1 1
    593   4   3   3 1 1 1
    594   5   3   3 1 1 1
    595   0   3   4 1 1 1
    596   1   3   4 1 1 1
    597   2   3   4 1 1 1
    598   3   3   4 1 1 1
    599   4   3   4 1 1 1
    600   5   3   4 1 1 1
    601   0   4  -4 1 1 1
    602   1   4  -4 1 1 1
    603   2   4  -4 1 1 1
    604   3   4  -4 1 1 1
    605   4   4  -4 1 1 1
    606   5   4  -4 1 1 1
    607   0   4  -3 1 1 1
    608   1   4  -3 1 1 1
    609   2   4  -3 1 1 1
    610   3   4  -3 1 1 1
    611   4   4  -3 1 1 1
    612   5   4  -3 1 1 1
    613   0   4  -2 1 1 1
    614   1   4  -2 1 1 1
    615   2   4  -2 1 1 1
    616   3   4  -2 1 1 1
    617   4   4  -2 1 1 1
    618   5   4  -2 1 1 1
    619   0   4  -1 1 1 1
    620   1   4  -1 1 1 1
    621   2   4  -1 1 1 1
    622   3   4  -1 1 1 1
    623   4   4  -1 1 1 1
    624   5   4  -1 1 1 1
    625   0   4   0 1 1 1
    626   1   4   0 1 1 1
    627   2   4   0 1 1 1
    628   3   4   0 1 1 1
    629   4   4   0 1 1 1
    630   5   4   0 1 1 1
    631   0   4   1 1 1 1
    632   1   4   1 1 1 1
    633   2   4   1 1 1 1
    634   3   4   1 1 1 1
    635   4   4   1 1 1 1
    636   5   4   1 1 1 1
    637   0   4   2 1 1 1
    638   1   4   2 1 1 1
    639   2   4   2 1 1 1
    640   3   4   2 1 1 1
    641   4   4   2 1 1 1
    642   5   4   2 1 1 1
    643   0   4   3 1 1 1
    644   1   4   3 1 1 1
    645   2   4   3 1 1 1
    646   3   4   3 1 1 1
    647   4   4   3 1 1 1
    648   5   4   3 1 1 1
    649   0   5  -2 1 1 1
    650   1   5  -2 1 1 1
    651   2   5  -2 1 1 1
    652   3   5  -2 1 1 1
    653   4   5  -2 1 1 1
    654   5   5  -2 1 1 1
    655   0   5  -1 1 1 1
    656   1   5  -1 1 1 1
    657   2   5  -1 1 1 1
    658   3   5  -1 1 1 1
    659   4   5  -1 1 1 1
    660   5   5  -1 1 1 1
    661   0   5   0 1 1 1
    662   1   5   0 1 1 1
    663   2   5   0 1 1 1
    664   3   5   0 1 1 1
    665   4   5   0 1 1 1
    666   5   5   0 1 1 1
    667   0   5   1 1 1 1
    668   1   5   1 1 1 1
    669   2   5   1 1 1 1
    670   3   5   1 1 1 1
    671   4   5   1 1 1 1
    672   5   5   1 1 1 1
    673 -15 -12 -12 2 2 2
    674 -15 -12 -11 2 2 2
    675 -15 -12 -10 2 2 2
    676 -15 -12  -9 2 2 2
    677 -15 -12  -8 2 2 2
    678 -15 -12  -7 2 2 2
    679 -15 -12  -6 2 2 2
    680 -15 -12  -5 2 2 2
    681 -15 -12  -4 2 2 2
    682 -15 -12  -3 2 2 2
    683 -15 -12  -2 2 2 2
    684 -15 -12  -1 2 2 2
    685 -15 -12   0 2 2 2
    686 -15 -12   1 2 2 2
    687 -15 -12   2 2 2 2
    688 -15 -12   3 2 2 2
    689 -15 -12   4 2 2 2
    690 -15 -12   5 2 2 2
    691 -15 -12   6 2 2 2
    692 -15 -12   7 2 2 2
    693 -15 -12   8 2 2 2
    694 -15 -12   9 2 2 2
    695 -15 -12  10 2 2 2
    696 -15 -12  11 2 2 2
    697 -15 -11 -12 2 2 2
    698 -15 -11 -11 2 2 2
    699 -15 -11 -10 2 2 2
    700 -15 -11  -9 2 2 2
    701 -15 -11  -8 2 2 2
    702 -15 -11  -7 2 2 2
    703 -15 -11  -6 2 2 2
    704 -15 -11  -5 2 2 2
    705 -15 -11  -4 2 2 2
    706 -15 -11  -3 2 2 2
    707 -15 -11  -2 2 2 2
    708 -15 -11  -1 2 2 2
    709 -15 -11   0 2 2 2
    710 -15 -11   1 2 2 2
    711 -15 -11   2 2 2 2
    712 -15 -11   3 2 2 2
    713 -15 -11   4 2 2 2
    714 -15 -11   5 2 2 2
    715 -15 -11   6 2 2 2
    716 -15 -11   7 2 2 2
    717 -15 -11   8 2 2 2
    718 -15 -11   9 2 2 2
    719 -15 -11  10 2 2 2
    720 -15 -11  11 2 2 2
    721 -15 -10 -12 2 2 2
    722 -15 -10 -11 2 2 2
    723 -15 -10 -10 2 2 2
    724 -15 -10  -9 2 2 2
    725 -15 -10  -8 2 2 2
    726 -15 -10  -7 2 2 2
    727 -15 -10  -6 2 2 2
    728 -15 -10  -5 2 2 2
    729 -15 -10  -4 2 2 2
    730 -15 -10  -3 2 2 2
    731 -15 -10  -2 2 2 2
    732 -15 -10  -1 2 2 2
    733 -15 -10   0 2 2 2
    734 -15 -10   1 2 2 2
    735 -15 -10   2 2 2 2
    736 -15 -10   3 2 2 2
    737 -15 -10   4 2 2 2
    738 -15 -10   5 2 2 2
    739 -15 -10   6 2 2 2
    740 -15 -10   7 2 2 2
    741 -15 -10   8 2 2 2
    742 -15 -10   9 2 2 2
    743 -15 -10  10 2 2 2
    744 -15 -10  11 2 2 2
    745 -15  -9 -12 2 2 2
    746 -15  -9 -11 2 2 2
    747 -15  -9 -10 2 2 2
    748 -15  -9  -9 2 2 2
    749 -15  -9  -8 2 2 2
    750 -15  -9  -7 2 2 2
    751 -15  -9  -6 2 2 2
    752 -15  -9  -5 2 2 2
    753 -15  -9  -4 2 2 2
    754 -15  -9  -3 2 2 2
    755 -15  -9  -2 2 2 2
    756 -15  -9  -1 2 2 2
    757 -15  -9   0 2 2 2
    758 -15  -9   1 2 2 2
    759 -15  -9   2 2 2 2
    760 -15  -9   3 2 2 2
    761 -15  -9   4 2 2 2
    762 -15  -9   5 2 2 2
    763 -15  -9   6 2 2 2
    764 -15  -9   7 2 2 2
    765 -15  -9   8 2 2 2
    766 -15  -9   9 2 2 2
    767 -15  -9  10 2 2 2
    768 -15  -9  11 2 2 2
    769 -15  -8 -12 2 2 2
    770 -15  -8 -11 2 2 2
    771 -15  -8 -10 2 2 2
    772 -15  -8  -9 2 2 2
    773 -15  -8  -8 2 2 2
    774 -15  -8  -7 2 2 2
    775 -15  -8  -6 2 2 2
    776 -15  -8  -5 2 2 2
    777 -15  -8  -4 2 2 2
    778 -15  -8  -3 2 2 2
    779 -15  -8  -2 2 2 2
    780 -15  -8  -1 2 2 2
    781 -15  -8   0 2 2 2
    782 -15  -8   1 2 2 2
    783 -15  -8   2 2 2 2
    784 -15  -8   3 2 2 2
    785 -15  -8   4 2 2 2
    786 -15  -8   5 2 2 2
    787 -15  -8   6 2 2 2
    788 -15  -8   7 2 2 2
    789 -15  -8   8 2 2 2
    790 -15  -8   9 2 2 2
