 >TARELL  ellipsoidal grain; AX,AY,AZ= 49.4900 49.4900 49.4900
     63461 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
  -0.00000  -0.00000  -0.00000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
    441   -6   -6  -22 1 1 1
    442   -5   -6  -22 1 1 1
    443   -4   -6  -22 1 1 1
    444   -3   -6  -22 1 1 1
    445   -2   -6  -22 1 1 1
    446   -1   -6  -22 1 1 1
    447    0   -6  -22 1 1 1
    448    1   -6  -22 1 1 1
    449    2   -6  -22 1 1 1
    450    3   -6  -22 1 1 1
    451    4   -6  -22 1 1 1
    452    5   -6  -22 1 1 1
    453    6   -6  -22 1 1 1
    454    7   -6  -22 1 1 1
    455    8   -6  -22 1 1 1
    456    9   -6  -22 1 1 1
    457  -10   -5  -22 1 1 1
    458   -9   -5  -22 1 1 1
    459   -8   -5  -22 1 1 1
    460   -7   -5  -22 1 1 1
    461   -6   -5  -22 1 1 1
    462   -5   -5  -22 1 1 1
    463   -4   -5  -22 1 1 1
    464   -3   -5  -22 1 1 1
    465   -2   -5  -22 1 1 1
    466   -1   -5  -22 1 1 1
    467    0   -5  -22 1 1 1
    468    1   -5  -22 1 1 1
    469    2   -5  -22 1 1 1
    470    3   -5  -22 1 1 1
    471    4   -5  -22 1 1 1
    472    5   -5  -22 1 1 1
    473    6   -5  -22 1 1 1
    474    7   -5  -22 1 1 1
    475    8   -5  -22 1 1 1
    476    9   -5  -22 1 1 1
    477   10   -5  -22 1 1 1
    478  -10   -4  -22 1 1 1
    479   -9   -4  -22 1 1 1
    480   -8   -4  -22 1 1 1
    481   -7   -4  -22 1 1 1
    482   -6   -4  -22 1 1 1
    483   -5   -4  -22 1 1 1
    484   -4   -4  -22 1 1 1
    485   -3   -4  -22 1 1 1
    486   -2   -4  -22 1 1 1
    487   -1   -4  -22 1 1 1
    488    0   -4  -22 1 1 1
    489    1   -4  -22 1 1 1
    490    2   -4  -22 1 1 1
    491    3   -4  -22 1 1 1
    492    4   -4  -22 1 1 1
    493    5   -4  -22 1 1 1
    494    6   -4  -22 1 1 1
    495    7   -4  -22 1 1 1
    496    8   -4  -22 1 1 1
    497    9   -4  -22 1 1 1
    498   10   -4  -22 1 1 1
    499  -10   -3  -22 1 1 1
    500   -9   -3  -22 1 1 1
    501   -8   -3  -22 1 1 1
    502   -7   -3  -22 1 1 1
    503   -6   -3  -22 1 1 1
    504   -5   -3  -22 1 1 1
    505   -4   -3  -22 1 1 1
    506   -3   -3  -22 1 1 1
    507   -2   -3  -22 1 1 1
    508   -1   -3  -22 1 1 1
    509    0   -3  -22 1 1 1
    510    1   -3  -22 1 1 1
    511    2   -3  -22 1 1 1
    512    3   -3  -22 1 1 1
    513    4   -3  -22 1 1 1
    514    5   -3  -22 1 1 1
    515    6   -3  -22 1 1 1
    516    7   -3  -22 1 1 1
    517    8   -3  -22 1 1 1
    518    9   -3  -22 1 1 1
    519   10   -3  -22 1 1 1
    520  -11   -2  -22 1 1 1
    521  -10   -2  -22 1 1 1
    522   -9   -2  -22 1 1 1
    523   -8   -2  -22 1 1 1
    524   -7   -2  -22 1 1 1
    525   -6   -2  -22 1 1 1
    526   -5   -2  -22 1 1 1
    527   -4   -2  -22 1 1 1
    528   -3   -2  -22 1 1 1
    529   -2   -2  -22 1 1 1
    530   -1   -2  -22 1 1 1
    531    0   -2  -22 1 1 1
    532    1   -2  -22 1 1 1
    533    2   -2  -22 1 1 1
    534    3   -2  -22 1 1 1
    535    4   -2  -22 1 1 1
    536    5   -2  -22 1 1 1
    537    6   -2  -22 1 1 1
    538    7   -2  -22 1 1 1
    539    8   -2  -22 1 1 1
    540    9   -2  -22 1 1 1
    541   10   -2  -22 1 1 1
    542   11   -2  -22 1 1 1
    543  -11   -1  -22 1 1 1
    544  -10   -1  -22 1 1 1
    545   -9   -1  -22 1 1 1
    546   -8   -1  -22 1 1 1
    547   -7   -1  -22 1 1 1
    548   -6   -1  -22 1 1 1
    549   -5   -1  -22 1 1 1
    550   -4   -1  -22 1 1 1
    551   -3   -1  -22 1 1 1
    552   -2   -1  -22 1 1 1
    553   -1   -1  -22 1 1 1
    554    0   -1  -22 1 1 1
    555    1   -1  -22 1 1 1
    556    2   -1  -22 1 1 1
    557    3   -1  -22 1 1 1
    558    4   -1  -22 1 1 1
    559    5   -1  -22 1 1 1
    560    6   -1  -22 1 1 1
    561    7   -1  -22 1 1 1
    562    8   -1  -22 1 1 1
    563    9   -1  -22 1 1 1
    564   10   -1  -22 1 1 1
    565   11   -1  -22 1 1 1
    566  -11    0  -22 1 1 1
    567  -10    0  -22 1 1 1
    568   -9    0  -22 1 1 1
    569   -8    0  -22 1 1 1
    570   -7    0  -22 1 1 1
    571   -6    0  -22 1 1 1
    572   -5    0  -22 1 1 1
    573   -4    0  -22 1 1 1
    574   -3    0  -22 1 1 1
    575   -2    0  -22 1 1 1
    576   -1    0  -22 1 1 1
    577    0    0  -22 1 1 1
    578    1    0  -22 1 1 1
    579    2    0  -22 1 1 1
    580    3    0  -22 1 1 1
    581    4    0  -22 1 1 1
    582    5    0  -22 1 1 1
    583    6    0  -22 1 1 1
    584    7    0  -22 1 1 1
    585    8    0  -22 1 1 1
    586    9    0  -22 1 1 1
    587   10    0  -22 1 1 1
    588   11    0  -22 1 1 1
    589  -11    1  -22 1 1 1
    590  -10    1  -22 1 1 1
    591   -9    1  -22 1 1 1
    592   -8    1  -22 1 1 1
    593   -7    1  -22 1 1 1
    594   -6    1  -22 1 1 1
    595   -5    1  -22 1 1 1
    596   -4    1  -22 1 1 1
    597   -3    1  -22 1 1 1
    598   -2    1  -22 1 1 1
    599   -1    1  -22 1 1 1
    600    0    1  -22 1 1 1
    601    1    1  -22 1 1 1
    602    2    1  -22 1 1 1
    603    3    1  -22 1 1 1
    604    4    1  -22 1 1 1
    605    5    1  -22 1 1 1
    606    6    1  -22 1 1 1
    607    7    1  -22 1 1 1
    608    8    1  -22 1 1 1
    609    9    1  -22 1 1 1
    610   10    1  -22 1 1 1
    611   11    1  -22 1 1 1
    612  -11    2  -22 1 1 1
    613  -10    2  -22 1 1 1
    614   -9    2  -22 1 1 1
    615   -8    2  -22 1 1 1
    616   -7    2  -22 1 1 1
    617   -6    2  -22 1 1 1
    618   -5    2  -22 1 1 1
    619   -4    2  -22 1 1 1
    620   -3    2  -22 1 1 1
    621   -2    2  -22 1 1 1
    622   -1    2  -22 1 1 1
    623    0    2  -22 1 1 1
    624    1    2  -22 1 1 1
    625    2    2  -22 1 1 1
    626    3    2  -22 1 1 1
    627    4    2  -22 1 1 1
    628    5    2  -22 1 1 1
    629    6    2  -22 1 1 1
    630    7    2  -22 1 1 1
    631    8    2  -22 1 1 1
    632    9    2  -22 1 1 1
    633   10    2  -22 1 1 1
    634   11    2  -22 1 1 1
    635  -10    3  -22 1 1 1
    636   -9    3  -22 1 1 1
    637   -8    3  -22 1 1 1
    638   -7    3  -22 1 1 1
    639   -6    3  -22 1 1 1
    640   -5    3  -22 1 1 1
    641   -4    3  -22 1 1 1
    642   -3    3  -22 1 1 1
    643   -2    3  -22 1 1 1
    644   -1    3  -22 1 1 1
    645    0    3  -22 1 1 1
    646    1    3  -22 1 1 1
    647    2    3  -22 1 1 1
    648    3    3  -22 1 1 1
    649    4    3  -22 1 1 1
    650    5    3  -22 1 1 1
    651    6    3  -22 1 1 1
    652    7    3  -22 1 1 1
    653    8    3  -22 1 1 1
    654    9    3  -22 1 1 1
    655   10    3  -22 1 1 1
    656  -10    4  -22 1 1 1
    657   -9    4  -22 1 1 1
    658   -8    4  -22 1 1 1
    659   -7    4  -22 1 1 1
    660   -6    4  -22 1 1 1
    661   -5    4  -22 1 1 1
    662   -4    4  -22 1 1 1
    663   -3    4  -22 1 1 1
    664   -2    4  -22 1 1 1
    665   -1    4  -22 1 1 1
    666    0    4  -22 1 1 1
    667    1    4  -22 1 1 1
    668    2    4  -22 1 1 1
    669    3    4  -22 1 1 1
    670    4    4  -22 1 1 1
    671    5    4  -22 1 1 1
    672    6    4  -22 1 1 1
    673    7    4  -22 1 1 1
    674    8    4  -22 1 1 1
    675    9    4  -22 1 1 1
    676   10    4  -22 1 1 1
    677  -10    5  -22 1 1 1
    678   -9    5  -22 1 1 1
    679   -8    5  -22 1 1 1
    680   -7    5  -22 1 1 1
    681   -6    5  -22 1 1 1
    682   -5    5  -22 1 1 1
    683   -4    5  -22 1 1 1
    684   -3    5  -22 1 1 1
    685   -2    5  -22 1 1 1
    686   -1    5  -22 1 1 1
    687    0    5  -22 1 1 1
    688    1    5  -22 1 1 1
    689    2    5  -22 1 1 1
    690    3    5  -22 1 1 1
    691    4    5  -22 1 1 1
    692    5    5  -22 1 1 1
    693    6    5  -22 1 1 1
    694    7    5  -22 1 1 1
    695    8    5  -22 1 1 1
    696    9    5  -22 1 1 1
    697   10    5  -22 1 1 1
    698   -9    6  -22 1 1 1
    699   -8    6  -22 1 1 1
    700   -7    6  -22 1 1 1
    701   -6    6  -22 1 1 1
    702   -5    6  -22 1 1 1
    703   -4    6  -22 1 1 1
    704   -3    6  -22 1 1 1
    705   -2    6  -22 1 1 1
    706   -1    6  -22 1 1 1
    707    0    6  -22 1 1 1
    708    1    6  -22 1 1 1
    709    2    6  -22 1 1 1
    710    3    6  -22 1 1 1
    711    4    6  -22 1 1 1
    712    5    6  -22 1 1 1
    713    6    6  -22 1 1 1
    714    7    6  -22 1 1 1
    715    8    6  -22 1 1 1
    716    9    6  -22 1 1 1
    717   -8    7  -22 1 1 1
    718   -7    7  -22 1 1 1
    719   -6    7  -22 1 1 1
    720   -5    7  -22 1 1 1
    721   -4    7  -22 1 1 1
    722   -3    7  -22 1 1 1
    723   -2    7  -22 1 1 1
    724   -1    7  -22 1 1 1
    725    0    7  -22 1 1 1
    726    1    7  -22 1 1 1
    727    2    7  -22 1 1 1
    728    3    7  -22 1 1 1
    729    4    7  -22 1 1 1
    730    5    7  -22 1 1 1
    731    6    7  -22 1 1 1
    732    7    7  -22 1 1 1
    733    8    7  -22 1 1 1
    734   -8    8  -22 1 1 1
    735   -7    8  -22 1 1 1
    736   -6    8  -22 1 1 1
    737   -5    8  -22 1 1 1
    738   -4    8  -22 1 1 1
    739   -3    8  -22 1 1 1
    740   -2    8  -22 1 1 1
    741   -1    8  -22 1 1 1
    742    0    8  -22 1 1 1
    743    1    8  -22 1 1 1
    744    2    8  -22 1 1 1
    745    3    8  -22 1 1 1
    746    4    8  -22 1 1 1
    747    5    8  -22 1 1 1
    748    6    8  -22 1 1 1
    749    7    8  -22 1 1 1
    750    8    8  -22 1 1 1
    751   -6    9  -22 1 1 1
    752   -5    9  -22 1 1 1
    753   -4    9  -22 1 1 1
    754   -3    9  -22 1 1 1
    755   -2    9  -22 1 1 1
    756   -1    9  -22 1 1 1
    757    0    9  -22 1 1 1
    758    1    9  -22 1 1 1
    759    2    9  -22 1 1 1
